content,cleaned_content,score,accuracy,completeness,satisfaction
"apk parahh, masa saldonya hilang sendiri😠😠 udh keberapa kali transaksi kek gini. trs gk ada kejelasan dr pihaknya.. anehh","apk parahh, masa saldonya hilang sendiri udh keberapa kali transaksi kek gini. trs gk ada kejelasan dr pihaknya.. anehh",1,1,0,1
"gak bisa login,,muter terus minta pin tapi gak masuk masuk,,payah","gak bisa login,,muter terus minta pin tapi gak masuk masuk,,payah",1,1,0,1
min kok saya TF uang tapi gagal + ngurang saldonya gimana katasinnya ya?,min kok saya tf uang tapi gagal ngurang saldonya gimana katasinnya ya?,1,1,0,0
"gak bisa melihat nomor dana malah disensor terus asistennya malah gak guna banget selalu bilang ""mohon maaf atas kesulitan anda"" SAYA BUTUHNYA JAWABAN DAN SOLUSI BUKAN SIMPATI DAN PERMINTAAN MAAF DARI AI kalau saja bisa aksih rating nol sudah ku kasih",gak bisa melihat nomor dana malah disensor terus asistennya malah gak guna banget selalu bilang mohon maaf atas kesulitan anda saya butuhnya jawaban dan solusi bukan simpati dan permintaan maaf dari ai kalau saja bisa aksih rating nol sudah ku kasih,1,1,1,1
"aneh fitur transfer ke e wallet gua hilang gak ada, trus gimana mau gua kirim duitnya kegopay","aneh fitur transfer ke e wallet gua hilang gak ada, trus gimana mau gua kirim duitnya kegopay",1,0,1,1
"kenapa akun saya tidak bisa untuk mengirim lagi, seperti menggunakan e walet gak bisa memeriksa notifikasi gak bisa dibuka, mok chat dana jugak gak bisa. tolong yaa segera dibenarkan akun saya, saya menggunakan dana untuk usaha saya. kalo akun bermasalah terus saya yang susah untuk bertransaksi nyaaa. tolong yaa diperbaiki","kenapa akun saya tidak bisa untuk mengirim lagi, seperti menggunakan e walet gak bisa memeriksa notifikasi gak bisa dibuka, mok chat dana jugak gak bisa. tolong yaa segera dibenarkan akun saya, saya menggunakan dana untuk usaha saya. kalo akun bermasalah terus saya yang susah untuk bertransaksi nyaaa. tolong yaa diperbaiki",1,1,0,1
"sering x out, disaat penting mau di gunakan, tolong di perbaiki lagi, kalo udah bagus akan aku kasih bintang 5 sekarang bintang 3 dulu, karna sangat kecewa dengan apk","sering x out, disaat penting mau di gunakan, tolong di perbaiki lagi, kalo udah bagus akan aku kasih bintang 5 sekarang bintang 3 dulu, karna sangat kecewa dengan apk",3,1,0,1
knpa aku gak bisa transfer,knpa aku gak bisa transfer,3,1,0,0
"jelek banget 24 jam login pas mau masuk tidak bisa lagi, padahal udah update dan lain-lain tapi hasilnya nihil sedih padahal ada saldo di dalamnya","jelek banget 24 jam login pas mau masuk tidak bisa lagi, padahal udah update dan lain lain tapi hasilnya nihil sedih padahal ada saldo di dalamnya",1,1,0,1
ini dana. knp. kok gl bisa. dri. td loh.,ini dana. knp. kok gl bisa. dri. td loh.,1,1,0,1
