content,cleaned_content,score,accuracy,completeness,satisfaction
saya kasih bintang d karena kan fitur belum lengkap saya udah transaksi sampai limit tapi fitur dana cicil nya tidak muncul2,saya kasih bintang d karena kan fitur belum lengkap saya udah transaksi sampai limit tapi fitur dana cicil nya tidak muncul2,2,0,1,1
saya minta kode otp ko ngg di kirim'min,saya minta kode otp ko ngg di kirim min,3,1,0,0
"aplikasi GK jelas ... Masak Iyah gampang di bobol buat penipuan... kemaren saldo di Dana saya 1jt lebih... Gara"" kirim kode barcode ke orang lain langsung bisa di kuras habis saldonya tanpa ada konfirmasi dari pemilik akun aslin",aplikasi gk jelas ... masak iyah gampang di bobol buat penipuan... kemaren saldo di dana saya 1jt lebih... gara kirim kode barcode ke orang lain langsung bisa di kuras habis saldonya tanpa ada konfirmasi dari pemilik akun aslin,1,1,0,1
transfer ke gopay malah gak bisa upgrade ke premium pun tetap gk bisa plerrrr emng ni e walet,transfer ke gopay malah gak bisa upgrade ke premium pun tetap gk bisa plerrrr emng ni e walet,1,1,1,1
pitir dana cicil tidak muncul,pitir dana cicil tidak muncul,2,0,1,0
"gajelas, qris suka gabisa","gajelas, qris suka gabisa",1,1,0,1
"kok pengembalian saldonya, tidak masuk ya","kok pengembalian saldonya, tidak masuk ya",3,1,0,0
kok dana cicil ny gada yah. akun saya yg lama ada kok yg ini gada yah.bnyk yg kurang hm,kok dana cicil ny gada yah. akun saya yg lama ada kok yg ini gada yah.bnyk yg kurang hm,3,0,1,1
"dana Adain fitur trans jakarta dong kaya gopay, please lah dana oh dana","dana adain fitur trans jakarta dong kaya gopay, please lah dana oh dana",2,0,1,0
transferan sangat lama masuk,transferan sangat lama masuk,1,1,0,0
"ini saya mau transaksi menggunakan dompet kartu setelah mau memasukkan kode verifikasi otp malah loading gambar dana tidak hilang2, alhasil tidak memasukan kode otp tidak bisa transaksi, ini tolong dibenahi bugnya, karena sudah 3 hari ini saya update aplikasi nya malah tidak bisa, kemarin2 masih bisa menggunakan metode kartu","ini saya mau transaksi menggunakan dompet kartu setelah mau memasukkan kode verifikasi otp malah loading gambar dana tidak hilang2, alhasil tidak memasukan kode otp tidak bisa transaksi, ini tolong dibenahi bugnya, karena sudah 3 hari ini saya update aplikasi nya malah tidak bisa, kemarin2 masih bisa menggunakan metode kartu",1,1,0,1
"dana bisnis ngebug,mau tarik saldo malah ga bisa verif muka nya,padahal pencahayaan udh terang,muka juga udh kelihatan di bingkai malah gagal terus,tolong perbaiki,saya punya 1jt di situ ga bisa di tarik","dana bisnis ngebug,mau tarik saldo malah ga bisa verif muka nya,padahal pencahayaan udh terang,muka juga udh kelihatan di bingkai malah gagal terus,tolong perbaiki,saya punya 1jt di situ ga bisa di tarik",1,1,0,1
"gangguan Mulu,, transaksi jadi keganggu,, aplikasi rusakkk","gangguan mulu,, transaksi jadi keganggu,, aplikasi rusakkk",1,1,0,1
dana sangat tidak rekomended padahal akun pakai keamanan 2 langkah mending pakai seabank atau atm buat simpan uang,dana sangat tidak rekomended padahal akun pakai keamanan 2 langkah mending pakai seabank atau atm buat simpan uang,1,0,0,1
Ko saya ga bisa masuk ke dana keluar terus,ko saya ga bisa masuk ke dana keluar terus,1,1,0,0
aplikasi makin hari makin buruk tidak bisa membayar pakai qris,aplikasi makin hari makin buruk tidak bisa membayar pakai qris,1,1,0,1
"Aplikasi ini sangat mengecewakan, isi saldo brizzi tidak masuk, padahal saldo di dana sudah terpotong . sangat merugikan, jelek banget pelayanannya","aplikasi ini sangat mengecewakan, isi saldo brizzi tidak masuk, padahal saldo di dana sudah terpotong . sangat merugikan, jelek banget pelayanannya",1,1,1,1
dana cicil tidak bisa digunakan padahal saya sudah melunasi tagihan dana cicil. apakah masih bisa menggunakan dana cicil .,dana cicil tidak bisa digunakan padahal saya sudah melunasi tagihan dana cicil. apakah masih bisa menggunakan dana cicil .,3,1,0,0
"ko bisa , saya dana cicil tidak bisa dipakai tapi ada limit saldo nya aneh","ko bisa , saya dana cicil tidak bisa dipakai tapi ada limit saldo nya aneh",2,1,0,1
kenapa dana sekarang ini sering error Mulu saya mau transaksi beli paket data pulsa di kembalikan terus giliran ada langganan terpotong payah,kenapa dana sekarang ini sering error mulu saya mau transaksi beli paket data pulsa di kembalikan terus giliran ada langganan terpotong payah,1,1,0,1
"Fitur dana fizz nya aneh, padahal akun dana yang terdaftar pakai data dan dokumen sendiri, no telpon juga no sendiri, tapi pas mau verifikasi wajah selalu gagal atau wajah tidak terdeteksi? why? bagaimana bisa ga sinkron foto dri ktp sama verif wajah? tolong perbaiki karena saya kesulitan untuk bertransaksi karena adanya masalah ini","fitur dana fizz nya aneh, padahal akun dana yang terdaftar pakai data dan dokumen sendiri, no telpon juga no sendiri, tapi pas mau verifikasi wajah selalu gagal atau wajah tidak terdeteksi? why? bagaimana bisa ga sinkron foto dri ktp sama verif wajah? tolong perbaiki karena saya kesulitan untuk bertransaksi karena adanya masalah ini",1,1,0,1
cara aktifkan dana cilik min,cara aktifkan dana cilik min,3,0,1,0
"oi gimana nih aplikasi, system pembayaran qrish blom sukses, saldo udah kepotong 25.000.udah ngga amanah nih aplikasi","oi gimana nih aplikasi, system pembayaran qrish blom sukses, saldo udah kepotong 25.000.udah ngga amanah nih aplikasi",1,1,0,1
kenapa saya gak bisa Makai dana cicil? padahal tagihan sudah bayar lunas semua.,kenapa saya gak bisa makai dana cicil? padahal tagihan sudah bayar lunas semua.,1,1,0,0
"upgrade ke premium gagal terus, foto selfie di anggap beda sama ktp, di tambah uang udah terlanjur masuk ke akun dana, jadi ngga bisa di tf kemana2","upgrade ke premium gagal terus, foto selfie di anggap beda sama ktp, di tambah uang udah terlanjur masuk ke akun dana, jadi ngga bisa di tf kemana2",1,1,1,1
Kok saya tidak bisa masuk baru di masukkan nomor. Sudah saya klik lanjutkan tapi masih di menu itu ???,kok saya tidak bisa masuk baru di masukkan nomor. sudah saya klik lanjutkan tapi masih di menu itu ???,3,1,0,1
saldo ngk nambahh sudah isi biasanya lancar,saldo ngk nambahh sudah isi biasanya lancar,2,1,0,0
"Udah Check In tiap hari, udah mau ke 7 hari, malah balik hari ke satu lagi, kecewalah pastinya","udah check in tiap hari, udah mau ke 7 hari, malah balik hari ke satu lagi, kecewalah pastinya",2,1,0,1
"gak bener ini aplikasi,saya sudah mengajukan permasalahan saya tentang masalah pengiriman di asisten diana, malah eror. saya telah melakukan transaksi di transfer ke akun dana teman saya, tapi ketika sementara menunggu malah eror,dan saldo yang saya kirim tersebut gak masuk di akun dana teman saya, dan parahnya lagi saldo saya sudah berkurang dengan nominal yang saya transfer ke akun dana teman saya. coba tolong min kembalikan saldo saya🙏. saya berharap dapat respon bantu melalui di email saya","gak bener ini aplikasi,saya sudah mengajukan permasalahan saya tentang masalah pengiriman di asisten diana, malah eror. saya telah melakukan transaksi di transfer ke akun dana teman saya, tapi ketika sementara menunggu malah eror,dan saldo yang saya kirim tersebut gak masuk di akun dana teman saya, dan parahnya lagi saldo saya sudah berkurang dengan nominal yang saya transfer ke akun dana teman saya. coba tolong min kembalikan saldo saya . saya berharap dapat respon bantu melalui di email saya",1,1,1,1
"Internet lancar padahal tapi malah dibilang gak ada internet, data nyala juga padahal","internet lancar padahal tapi malah dibilang gak ada internet, data nyala juga padahal",1,1,0,0
dana cicil knpa saya gk bisa,dana cicil knpa saya gk bisa,1,1,0,0
"kenapa saya mengirim uang ke e-wallet lain, uang terpotong di dana tapi tidak masuk ke e-wallet lain uangnya... kecewa saya","kenapa saya mengirim uang ke e wallet lain, uang terpotong di dana tapi tidak masuk ke e wallet lain uangnya... kecewa saya",1,1,0,1
"scam!!! udah nungguin lebih dari 10 menit untuk sampai ke jam 10.00 pas buat event ramadhan, udah refresh terus menerus juga, udah pakai 2 hp juga buat nentuin detik ke jam 10.00 pas, pas udh masuk event jam 10 pas, udh sempet nukerin poinn... ke saldo dana yang 25rb, malah katanya terjadi gangguan signal apalah apalah, padahal signal wifi enak, dan saldo masih ada slot sebelumnya, pembodohan!","scam!!! udah nungguin lebih dari 10 menit untuk sampai ke jam 10.00 pas buat event ramadhan, udah refresh terus menerus juga, udah pakai 2 hp juga buat nentuin detik ke jam 10.00 pas, pas udh masuk event jam 10 pas, udh sempet nukerin poinn... ke saldo dana yang 25rb, malah katanya terjadi gangguan signal apalah apalah, padahal signal wifi enak, dan saldo masih ada slot sebelumnya, pembodohan!",1,1,0,1
GK bisa login ke dana peremium,gk bisa login ke dana peremium,1,1,1,0
Kenapa jadi gak bisa buka fitur aktivitas sama lihat detail transaksi?,kenapa jadi gak bisa buka fitur aktivitas sama lihat detail transaksi?,3,1,0,0
"Benerin dong setiap Saya top up Gopay dari ini keterangan nya admin Rp.999 tapi waktu gopay masuk saldo kurang Rp.1.000, jadi adminnya kena Rp.1.999 rupiah dong bukan Rp.999. BUTUH PENJELASAN si ini tiap kali transaksi begitu terus","benerin dong setiap saya top up gopay dari ini keterangan nya admin rp.999 tapi waktu gopay masuk saldo kurang rp.1.000, jadi adminnya kena rp.1.999 rupiah dong bukan rp.999. butuh penjelasan si ini tiap kali transaksi begitu terus",1,1,0,1
dana sya mlh berkurang pdhl gk ada transaksi yg sya buat,dana sya mlh berkurang pdhl gk ada transaksi yg sya buat,1,1,0,0
dana cicil tidak ada,dana cicil tidak ada,3,0,1,0
"PLIS SUMPAH DUIT KU HILANG PDHL KU SIMPAN BUAT AKU MAU KULIAH THN INI,TB² LENYAPPPPPPPPP PLIS TOLONG PLISSSSSS NYESEK RSNY SUMPAH NYESEK BANGET GW JUALAN TRASNPER² DI APK INI AWALNY AMAN² AJA TPI HRI INI HILANG SEMUA UANG TABUNGAN KU BER TAHUNNNNN TAHUNNNNNNN KU SUMPAHIN YG NGAMBIL UANG KU IT JEISKWKWKWWJB TOLONG AK NGETIK SAMBIL NNGIS INI TOLONG PLIS HDHD PLISSS NYESEK RSNY","plis sumpah duit ku hilang pdhl ku simpan buat aku mau kuliah thn ini,tb lenyappppppppp plis tolong plissssss nyesek rsny sumpah nyesek banget gw jualan trasnper di apk ini awalny aman aja tpi hri ini hilang semua uang tabungan ku ber tahunnnnn tahunnnnnnn ku sumpahin yg ngambil uang ku it jeiskwkwkwwjb tolong ak ngetik sambil nngis ini tolong plis hdhd plisss nyesek rsny",1,1,0,1
"mau top-up eh malah ada limit ,disuruh update Ke premium malah eror 🥲","mau top up eh malah ada limit ,disuruh update ke premium malah eror",1,1,1,0
kok akun saya gak ada menu dana cicil,kok akun saya gak ada menu dana cicil,1,0,1,0
pelayanan kurang jelas untuk membantu,pelayanan kurang jelas untuk membantu,1,0,1,1
"kecewa mau login,koneksi intermu terputus,pedahal koneksi stabil,di coba pake wifi pun sama aja,udah kaya apk abal abal aja,gimana mau s s mau masuk aja internetmu terputus ada ada saja,terserah kau ajalah,ga bakal gw pake lagi ni e wallet","kecewa mau login,koneksi intermu terputus,pedahal koneksi stabil,di coba pake wifi pun sama aja,udah kaya apk abal abal aja,gimana mau s s mau masuk aja internetmu terputus ada ada saja,terserah kau ajalah,ga bakal gw pake lagi ni e wallet",1,1,0,1
