content,cleaned_content,score,accuracy,completeness,satisfaction
FITUR DANA tidak bisa digunakan...,fitur dana tidak bisa digunakan...,1,1,0,0
ngk bisa masuk akun padahal semua udah diisi malah kendala² terus,ngk bisa masuk akun padahal semua udah diisi malah kendala terus,2,1,0,1
"saldo 300k ilang, buat ngisi uang elektronik/ E-toll, saldo tidak masuk payah banget di telen dana 300k 😫😫😡😡","saldo 300k ilang, buat ngisi uang elektronik e toll, saldo tidak masuk payah banget di telen dana 300k",1,1,0,1
semakin lemot dan tidak nyaman saat bertransaksi...,semakin lemot dan tidak nyaman saat bertransaksi...,3,1,0,1
Kenapa fitur Bantuan untuk menghubungi Call Centre tidak bisa dibuka?,kenapa fitur bantuan untuk menghubungi call centre tidak bisa dibuka?,1,1,0,0
"jelek bgt,keamanan kurang duot sering ilang,","jelek bgt,keamanan kurang duot sering ilang,",1,1,0,1
"semalam saya transfer 2x. laporan terkirim saldo kepotong, tapi duitnya disana gak masuk","semalam saya transfer 2x. laporan terkirim saldo kepotong, tapi duitnya disana gak masuk",1,1,0,0
Aplikasi tdk bs dibuka,aplikasi tdk bs dibuka,2,1,0,0
"aplk makin ribet aja,gk bisa masuk akun saya,masalahnya nomor akunndana sama nomor wa saya beda,jadi gk bisa masuk,,yah padahal SDH masukan sandi masih minta vertivikasi lewat wa,terus gimana klaw nomor wa saya beda dengan nomor akun dana saya","aplk makin ribet aja,gk bisa masuk akun saya,masalahnya nomor akunndana sama nomor wa saya beda,jadi gk bisa masuk,,yah padahal sdh masukan sandi masih minta vertivikasi lewat wa,terus gimana klaw nomor wa saya beda dengan nomor akun dana saya",1,1,1,1
gua mau narik duit gua tololllll aplikasi lemotttt klo malemm...m,gua mau narik duit gua tololllll aplikasi lemotttt klo malemm...m,1,1,0,1
Setiap melakukan transaksi pembayaran selalu otomatis pakai DANA Cicil. Sdh hub pusat bantuan tp tdk ada solusi,setiap melakukan transaksi pembayaran selalu otomatis pakai dana cicil. sdh hub pusat bantuan tp tdk ada solusi,1,1,1,1
akun saya sering terjadi error padahal saya menggunakan hp saya sendiri dan nomor ponsel saya sendiri. aplikasi ini tidak rekomended disetiap pembayaran top up game tidak pernah berjalan dengan baik,akun saya sering terjadi error padahal saya menggunakan hp saya sendiri dan nomor ponsel saya sendiri. aplikasi ini tidak rekomended disetiap pembayaran top up game tidak pernah berjalan dengan baik,1,1,0,1
susah bangat ganti nomor,susah bangat ganti nomor,3,1,0,1
"pusing verifikasi nya kak,, masa ga langsung verifikasi trs munculnya cmn tulisan telah diuanggah trs ditungguin ga bisa bisaa pdhl udh verifikasi pake ktp","pusing verifikasi nya kak,, masa ga langsung verifikasi trs munculnya cmn tulisan telah diuanggah trs ditungguin ga bisa bisaa pdhl udh verifikasi pake ktp",2,1,0,1
"saya sudah top up game di dalem apk ini sebesar 16k, yang totalnya 59 DM. tapi anehnya nggak masuk sama sekali DM nya. 16k hilang tanpa jejak karena ini apk. DANA BALIKIN DUIT SAYA!!!!","saya sudah top up game di dalem apk ini sebesar 16k, yang totalnya 59 dm. tapi anehnya nggak masuk sama sekali dm nya. 16k hilang tanpa jejak karena ini apk. dana balikin duit saya!!!!",1,1,0,1
saya tup up tiba tiba dana hilang,saya tup up tiba tiba dana hilang,1,1,0,0
Saya hanya ingin tahu kenapa akun saya yang pernah telat bayar angsuran DANA CICIL tidak bisa digunakan lagi setelah saya lunasi semua angsuran nya,saya hanya ingin tahu kenapa akun saya yang pernah telat bayar angsuran dana cicil tidak bisa digunakan lagi setelah saya lunasi semua angsuran nya,3,1,0,0
