content,cleaned_content,score,accuracy,completeness,satisfaction
DANA sekarang jadii aplikasi sampahh yaa. taro uang di dana tiba2 kesedot 2x pdhl tidak pernah transaksi apapun atau berlangganan apapun. proteksi nya malah makin jelekk dan bosok👎🏻👎🏻👎🏻. Chat pihak CS Diana minta refund uang juga tidak menyelesaikan permasalahan dan tidakk informatif. MENDING CEPET2 PADA UNINSTALL APLIKASI INI DEHHH. SEBELUM UANG KALIAN KESEDOT TERUS UANGNYA SAMA DANA AHAHAHA.,dana sekarang jadii aplikasi sampahh yaa. taro uang di dana tiba2 kesedot 2x pdhl tidak pernah transaksi apapun atau berlangganan apapun. proteksi nya malah makin jelekk dan bosok . chat pihak cs diana minta refund uang juga tidak menyelesaikan permasalahan dan tidakk informatif. mending cepet2 pada uninstall aplikasi ini dehhh. sebelum uang kalian kesedot terus uangnya sama dana ahahaha.,1,1,1,1
tidak bisa pakai qr,tidak bisa pakai qr,1,1,0,0
sudah pakai apk dana bertahun2 tidak di kasih dana cicil kecewa aq,sudah pakai apk dana bertahun2 tidak di kasih dana cicil kecewa aq,1,0,1,1
"ini gimana sih kok bisa ga masuk tranferan dri m-bangking ke dana dari jam 4 sore sampe sekarang belum masuk, chat admin juga buktinya kurang jelas padahal udah jelas bngt nominal tujuan tgl jam dan no seringa sudah terpampang jelas, ga bisa kirim foto lagi di ulasan","ini gimana sih kok bisa ga masuk tranferan dri m bangking ke dana dari jam 4 sore sampe sekarang belum masuk, chat admin juga buktinya kurang jelas padahal udah jelas bngt nominal tujuan tgl jam dan no seringa sudah terpampang jelas, ga bisa kirim foto lagi di ulasan",1,1,1,1
kenapa saya tidak bisa login ya,kenapa saya tidak bisa login ya,3,1,0,0
bagus tapi sayang dana cicil yh ga bisa di pake,bagus tapi sayang dana cicil yh ga bisa di pake,2,1,0,1
"saya pengguna dana sejak lama,di akun saya sudah tersedia filtur dana cicil akan tetapi filtur itu belum bisa digunakan.lalu mengapa filtur itu di keluarkan jika tidak bisa di gunakan.","saya pengguna dana sejak lama,di akun saya sudah tersedia filtur dana cicil akan tetapi filtur itu belum bisa digunakan.lalu mengapa filtur itu di keluarkan jika tidak bisa di gunakan.",1,1,0,1
"bikin fitur AGEN DANA setelah di topup saldonya,menu agen dana gak bisa di buka Mulu,aneh Lo admin,perbaikilah pelayanan untuk komplain lah,minimal live costumer service yang jawab kendala bukan robot","bikin fitur agen dana setelah di topup saldonya,menu agen dana gak bisa di buka mulu,aneh lo admin,perbaikilah pelayanan untuk komplain lah,minimal live costumer service yang jawab kendala bukan robot",1,1,1,1
para sx karyawan Alfamart malas melayani penguna dana untuk melakukan tarik tunai,para sx karyawan alfamart malas melayani penguna dana untuk melakukan tarik tunai,1,0,1,1
kasih bintang 2.sampay sekarang akun dana sya gal bis di buka.harus otp wa terus.mna ada sladonyh lagih.sya mah butuh uang nyah gmnh inih.😭😭😭,kasih bintang 2.sampay sekarang akun dana sya gal bis di buka.harus otp wa terus.mna ada sladonyh lagih.sya mah butuh uang nyah gmnh inih.,2,1,0,1
pake dana ribet banget si,pake dana ribet banget si,1,0,0,1
