content,reviewCreatedVersion,score,cleaned_content
FITUR DANA tidak bisa digunakan...,2.119.0,1,fitur dana tidak bisa digunakan...
ngk bisa masuk akun padahal semua udah diisi malah kendala² terus,2.123.1,2,ngk bisa masuk akun padahal semua udah diisi malah kendala terus
"saldo 300k ilang, buat ngisi uang elektronik/ E-toll, saldo tidak masuk payah banget di telen dana 300k 😫😫😡😡",2.113.1,1,"saldo 300k ilang, buat ngisi uang elektronik e toll, saldo tidak masuk payah banget di telen dana 300k"
semakin lemot dan tidak nyaman saat bertransaksi...,2.123.2,3,semakin lemot dan tidak nyaman saat bertransaksi...
Kenapa fitur Bantuan untuk menghubungi Call Centre tidak bisa dibuka?,2.115.0,1,kenapa fitur bantuan untuk menghubungi call centre tidak bisa dibuka?
"jelek bgt,keamanan kurang duot sering ilang,",2.122.0,1,"jelek bgt,keamanan kurang duot sering ilang,"
"semalam saya transfer 2x. laporan terkirim saldo kepotong, tapi duitnya disana gak masuk",2.110.0,1,"semalam saya transfer 2x. laporan terkirim saldo kepotong, tapi duitnya disana gak masuk"
Aplikasi tdk bs dibuka,2.115.0,2,aplikasi tdk bs dibuka
"aplk makin ribet aja,gk bisa masuk akun saya,masalahnya nomor akunndana sama nomor wa saya beda,jadi gk bisa masuk,,yah padahal SDH masukan sandi masih minta vertivikasi lewat wa,terus gimana klaw nomor wa saya beda dengan nomor akun dana saya",2.122.0,1,"aplk makin ribet aja,gk bisa masuk akun saya,masalahnya nomor akunndana sama nomor wa saya beda,jadi gk bisa masuk,,yah padahal sdh masukan sandi masih minta vertivikasi lewat wa,terus gimana klaw nomor wa saya beda dengan nomor akun dana saya"
gua mau narik duit gua tololllll aplikasi lemotttt klo malemm...m,2.110.0,1,gua mau narik duit gua tololllll aplikasi lemotttt klo malemm...m
Setiap melakukan transaksi pembayaran selalu otomatis pakai DANA Cicil. Sdh hub pusat bantuan tp tdk ada solusi,2.118.0,1,setiap melakukan transaksi pembayaran selalu otomatis pakai dana cicil. sdh hub pusat bantuan tp tdk ada solusi
akun saya sering terjadi error padahal saya menggunakan hp saya sendiri dan nomor ponsel saya sendiri. aplikasi ini tidak rekomended disetiap pembayaran top up game tidak pernah berjalan dengan baik,2.115.0,1,akun saya sering terjadi error padahal saya menggunakan hp saya sendiri dan nomor ponsel saya sendiri. aplikasi ini tidak rekomended disetiap pembayaran top up game tidak pernah berjalan dengan baik
susah bangat ganti nomor,2.121.0,3,susah bangat ganti nomor
"pusing verifikasi nya kak,, masa ga langsung verifikasi trs munculnya cmn tulisan telah diuanggah trs ditungguin ga bisa bisaa pdhl udh verifikasi pake ktp",2.119.0,2,"pusing verifikasi nya kak,, masa ga langsung verifikasi trs munculnya cmn tulisan telah diuanggah trs ditungguin ga bisa bisaa pdhl udh verifikasi pake ktp"
"saya sudah top up game di dalem apk ini sebesar 16k, yang totalnya 59 DM. tapi anehnya nggak masuk sama sekali DM nya. 16k hilang tanpa jejak karena ini apk. DANA BALIKIN DUIT SAYA!!!!",2.118.0,1,"saya sudah top up game di dalem apk ini sebesar 16k, yang totalnya 59 dm. tapi anehnya nggak masuk sama sekali dm nya. 16k hilang tanpa jejak karena ini apk. dana balikin duit saya!!!!"
saya tup up tiba tiba dana hilang,2.123.2,1,saya tup up tiba tiba dana hilang
Saya hanya ingin tahu kenapa akun saya yang pernah telat bayar angsuran DANA CICIL tidak bisa digunakan lagi setelah saya lunasi semua angsuran nya,2.117.1,3,saya hanya ingin tahu kenapa akun saya yang pernah telat bayar angsuran dana cicil tidak bisa digunakan lagi setelah saya lunasi semua angsuran nya
Saya mengirim dana keterangan gagal tapi saldo sudah berkurang dan di riwayat transaksi tidak ada mohon bantuannya kak,2.110.0,2,saya mengirim dana keterangan gagal tapi saldo sudah berkurang dan di riwayat transaksi tidak ada mohon bantuannya kak
dana sekarang nga jls saya mau login dana pin udah bener wajah udah mlh nga bisa sedangkan sado saya masih banyak nga DA solusi. mlh d persulit,2.112.0,1,dana sekarang nga jls saya mau login dana pin udah bener wajah udah mlh nga bisa sedangkan sado saya masih banyak nga da solusi. mlh d persulit
kok gak bisa buka dana ya kak,2.112.0,2,kok gak bisa buka dana ya kak
sayangnya tidak bisa menghapus tagihan padahal saya tidak mau membeli langganan di apk lain,2.118.0,2,sayangnya tidak bisa menghapus tagihan padahal saya tidak mau membeli langganan di apk lain
"Kenapa akun dana saya ga ke upgrade ke dana premium ya? padahal sudah jelas status di beranda sudah di upgrade tapi tetap saja tidak ada perubahan, malah kembali ke mode biasa. Dan untuk fitur Diana tidak membantu sama sekali! tolong dong untuk fitur ini lebih ke mendengarkan keluhan terlebih dahulu, baru menanyakan apa masalahnya, ini belum selesai sudah muncul karena apa, padahal bukan karena itu masalahnya.",2.113.1,3,"kenapa akun dana saya ga ke upgrade ke dana premium ya? padahal sudah jelas status di beranda sudah di upgrade tapi tetap saja tidak ada perubahan, malah kembali ke mode biasa. dan untuk fitur diana tidak membantu sama sekali! tolong dong untuk fitur ini lebih ke mendengarkan keluhan terlebih dahulu, baru menanyakan apa masalahnya, ini belum selesai sudah muncul karena apa, padahal bukan karena itu masalahnya."
"nyeselin bot2 customer servicenya dana,gak di tlp,ga di email,gak di diana² ituu,berhari² gaada jalannya juga",2.118.0,1,"nyeselin bot2 customer servicenya dana,gak di tlp,ga di email,gak di diana ituu,berhari gaada jalannya juga"
"Dana saya hilang tidak maw ganti ribet,isikan kembali kedana saya tolong di perhatikan. sudah lama tapi gak ada tindakan",2.123.2,1,"dana saya hilang tidak maw ganti ribet,isikan kembali kedana saya tolong di perhatikan. sudah lama tapi gak ada tindakan"
ngga bisa bayar pake metode pembayaran dari pin tolong lahh di perbaiki,2.115.0,1,ngga bisa bayar pake metode pembayaran dari pin tolong lahh di perbaiki
ini saya ga ada transaksi digital apapun tiba-tiba muncul tagihan. mana deadline cuma satu hari pula,2.119.0,1,ini saya ga ada transaksi digital apapun tiba tiba muncul tagihan. mana deadline cuma satu hari pula
"aplikasi semakin nge leg, mau lihat detail pengiriman gk bisa",2.111.0,2,"aplikasi semakin nge leg, mau lihat detail pengiriman gk bisa"
aplikasi ter aneh.. php besar ada dapat limit ehhh buset limit dana kecil ga bisa dipakai sekali... di bayar ini tu ga bisa.. lalu absen hadiah tu tu ga bisa anehh ni aplikasi nya... tukar waktu tu dari no lama ke baru juga super amat ribet 1000 persen wajib saldo kosong lah.. nunggu berhari2 lamanya,2.122.0,1,aplikasi ter aneh.. php besar ada dapat limit ehhh buset limit dana kecil ga bisa dipakai sekali... di bayar ini tu ga bisa.. lalu absen hadiah tu tu ga bisa anehh ni aplikasi nya... tukar waktu tu dari no lama ke baru juga super amat ribet 1000 persen wajib saldo kosong lah.. nunggu berhari2 lamanya
"aplikasi sangat buruk, minggu kemarin saya jual eMas penjualannya sukses tapi uangnya tidak masuk dan riwayat transaksinya tidak ada pula,sudah kirim ss buktiknya masih aja tidak membantu, eMas nya juga sudah terpotong. sudah minta bantuan DIANA tapi tidak membantu sama sekali, kalau sudah kaya gini gimana??cuman dapet hikmah dan ngelatih sabar doang",2.113.1,1,"aplikasi sangat buruk, minggu kemarin saya jual emas penjualannya sukses tapi uangnya tidak masuk dan riwayat transaksinya tidak ada pula,sudah kirim ss buktiknya masih aja tidak membantu, emas nya juga sudah terpotong. sudah minta bantuan diana tapi tidak membantu sama sekali, kalau sudah kaya gini gimana??cuman dapet hikmah dan ngelatih sabar doang"
"kok gangguan s nyettttttt,kgk bisa d ambil duit guaa....apk lolll",2.118.0,1,"kok gangguan s nyettttttt,kgk bisa d ambil duit guaa....apk lolll"
tolong dong dana sayah engga bisa natik uang setiap mau narik ngeleg terus engga bisa narik padahal sayah lagi butuh uang,2.116.0,1,tolong dong dana sayah engga bisa natik uang setiap mau narik ngeleg terus engga bisa narik padahal sayah lagi butuh uang
"masa aku udah daftar no wa ku terus diverivikasi setelah itu aku pencet lanjutkan masa keluar sendiri sih, ini bug atau gimana yaa.",2.119.0,2,"masa aku udah daftar no wa ku terus diverivikasi setelah itu aku pencet lanjutkan masa keluar sendiri sih, ini bug atau gimana yaa."
dana sekarang makin anehh...kadang uang tf an tidak masuk kadang juga gak bisa di buka mending oake seabank aja aman,2.115.0,1,dana sekarang makin anehh...kadang uang tf an tidak masuk kadang juga gak bisa di buka mending oake seabank aja aman
"poin dana sebenernya bisa di tuker gak si, mau nuker selalu aja habis mulu hadiahnya. kalau gak bisa mending di ilangin aja, gak berguna.",2.118.0,1,"poin dana sebenernya bisa di tuker gak si, mau nuker selalu aja habis mulu hadiahnya. kalau gak bisa mending di ilangin aja, gak berguna."
susah kenapa ini kirim pake qris,2.123.2,1,susah kenapa ini kirim pake qris
ko pya sya g ada dana cicil y,2.114.1,2,ko pya sya g ada dana cicil y
ni kenapa dah dana error Mulu gak bisa TF padahal sinyal kenceng kocak bgt ni apk hadeh,2.120.1,1,ni kenapa dah dana error mulu gak bisa tf padahal sinyal kenceng kocak bgt ni apk hadeh
masih ajak gak mau kebuka udah berapa berapa hari udah lebih satu minggu masih ajak sama aplikasi dana bikin sakit hati mukin kalo gak ada saldonya aku gak akan hiro kanlagi uda mau 48 jm masi gak bisa aplikasi ini bikin rugi😡😡😡,2.115.0,1,masih ajak gak mau kebuka udah berapa berapa hari udah lebih satu minggu masih ajak sama aplikasi dana bikin sakit hati mukin kalo gak ada saldonya aku gak akan hiro kanlagi uda mau 48 jm masi gak bisa aplikasi ini bikin rugi
"sering kena potongan 500 kadang 1000 tiap transaksi, biasanya pas bulan tua, giliran uang ilang ga ada solusi 🥱",2.114.1,1,"sering kena potongan 500 kadang 1000 tiap transaksi, biasanya pas bulan tua, giliran uang ilang ga ada solusi"
sudah saya hapus cache. tutup aplikasi selain dana. dan sudah saya restart tetap tidak bisa login. gimana mau ke cs DIANA login aja gk bisa. payah. klo gini kan kacau. hapus aja deh. klo gak becus benerin aplikasi nya.,2.116.0,1,sudah saya hapus cache. tutup aplikasi selain dana. dan sudah saya restart tetap tidak bisa login. gimana mau ke cs diana login aja gk bisa. payah. klo gini kan kacau. hapus aja deh. klo gak becus benerin aplikasi nya.
minimal kirim kode otp pake pilihan lah masa email doang dan itu udah ada alamat email yg bukan milik ku astaga,2.113.1,2,minimal kirim kode otp pake pilihan lah masa email doang dan itu udah ada alamat email yg bukan milik ku astaga
ku kira aplikasi ini aman dengan apa yg di iklankan tapi ternya nol. ga sama dengan apa yg di iklankan. uangku lenyap di bobol orang yg tak ku kenal. aku lapor ke oprator danya ga ada reaksi apa jadi nyesel. uang baru masuk jm 9 pagih jam 10 raib di bobol orang yg ga ku kenal,2.122.0,1,ku kira aplikasi ini aman dengan apa yg di iklankan tapi ternya nol. ga sama dengan apa yg di iklankan. uangku lenyap di bobol orang yg tak ku kenal. aku lapor ke oprator danya ga ada reaksi apa jadi nyesel. uang baru masuk jm 9 pagih jam 10 raib di bobol orang yg ga ku kenal
jangan kebanyakan otp saldo ku jadi hilang karena ga bisa di buka karena kartu sudah hilang,2.120.1,1,jangan kebanyakan otp saldo ku jadi hilang karena ga bisa di buka karena kartu sudah hilang
"percuma event² juga gak pernah dpt pdhl dah upgrde premium ,tapi gak pernah dapat hadiah selalu habis.pdhl mulai jam 10:wib tapi belum pas jam 10:wib itu udah abis,padahl baru muncul,itu gak ada harpan utntuk dpt",2.117.1,1,"percuma event juga gak pernah dpt pdhl dah upgrde premium ,tapi gak pernah dapat hadiah selalu habis.pdhl mulai jam 10 wib tapi belum pas jam 10 wib itu udah abis,padahl baru muncul,itu gak ada harpan utntuk dpt"
biar tau cara menggunakan dana,2.122.0,3,biar tau cara menggunakan dana
susah banget sekarang mau masuk ke akun sendiri,2.116.0,1,susah banget sekarang mau masuk ke akun sendiri
