content,reviewCreatedVersion,score,cleaned_content
tenks baru pertama kali b TF bagus,2.119.0,3,tenks baru pertama kali b tf bagus
Dana paylater di akun saya tidak ada.,2.119.0,1,dana paylater di akun saya tidak ada.
sering eror transaksi ewaled tidak bisa,2.112.0,2,sering eror transaksi ewaled tidak bisa
call center sangat mengecewakan tidak bisa memberi solusi pengaduan pelanggan,2.121.0,1,call center sangat mengecewakan tidak bisa memberi solusi pengaduan pelanggan
"""Cairkan dana instant anda sekarang...bla..bla..bla... fiturnya aja belum ad sering di notif,,, lama-lama saya hapus nie aplikasi....👎👎👎👎👎",2.119.0,1,"cairkan dana instant anda sekarang...bla..bla..bla... fiturnya aja belum ad sering di notif,,, lama lama saya hapus nie aplikasi...."
"fitur terbaru gak ada padahal udah di apdet tiap saat,dana cicil gak ada dana instan gak ada.gak sama sama yg lain aplikasini milih milih tuk fitur ini gak adil.",2.121.0,1,"fitur terbaru gak ada padahal udah di apdet tiap saat,dana cicil gak ada dana instan gak ada.gak sama sama yg lain aplikasini milih milih tuk fitur ini gak adil."
gw bertanya malah disuruh ke customer care sedangkan Diana customer care nya udh gw buka gw tanya disuruh ke Diana customer care kan gak jelas dana gak bener pusat bantuan nya tidak membantu,2.115.0,1,gw bertanya malah disuruh ke customer care sedangkan diana customer care nya udh gw buka gw tanya disuruh ke diana customer care kan gak jelas dana gak bener pusat bantuan nya tidak membantu
sy buka pakai no HP ku ini koq gk bisa ya...?,2.123.1,3,sy buka pakai no hp ku ini koq gk bisa ya...?
"saya mengunakan DANA dari tahun 2018 tapi fitur DANA CICIL&DANA INSTAN tidak ada, padahal akun saya sudah premium, saya sangat kecewa",2.122.0,1,"saya mengunakan dana dari tahun 2018 tapi fitur dana cicil dana instan tidak ada, padahal akun saya sudah premium, saya sangat kecewa"
"PENDINGGG SAAT KIRIM UANG, UANG SUDAH TERPOTONG TAPI TRANSAKSI MASI PENDING!!?....",2.110.0,1,"pendinggg saat kirim uang, uang sudah terpotong tapi transaksi masi pending!!?...."
dana sekarang makin payah makin ngerepotin gara gara kartunya ilang duit w ga bisa diambil susah slalu otp trus dah tau kartunya gda gmn sih aplkasi ga ngotak pin dah bisa perifikasi muka bisa knpa harus pake otp trus untung duitnya ga gde cba klw jutaan gila w,2.118.0,1,dana sekarang makin payah makin ngerepotin gara gara kartunya ilang duit w ga bisa diambil susah slalu otp trus dah tau kartunya gda gmn sih aplkasi ga ngotak pin dah bisa perifikasi muka bisa knpa harus pake otp trus untung duitnya ga gde cba klw jutaan gila w
internet terputus padahal data msih bnyak heran harus pake wifi mulu,2.115.0,2,internet terputus padahal data msih bnyak heran harus pake wifi mulu
saldo saya hilang tiba2 kesedot tiktok koin. mohon pengembalian dana saya,2.110.0,1,saldo saya hilang tiba2 kesedot tiktok koin. mohon pengembalian dana saya
"saya mau kasih masukan. kalau sudah jam jam istirahat, seperti jam 9 malam ke atas jangan lagi ada masuk notifikasi. karena sangat mengganggu. kadang masuk jam 2 dini hari. orang lagi tidur masuk notif dari gopay",2.111.0,3,"saya mau kasih masukan. kalau sudah jam jam istirahat, seperti jam 9 malam ke atas jangan lagi ada masuk notifikasi. karena sangat mengganggu. kadang masuk jam 2 dini hari. orang lagi tidur masuk notif dari gopay"
