content,cleaned_content,score,accuracy,completeness,satisfaction
masa ga ada fitur dana cicil nya. ga adil dong kalo gitu.,masa ga ada fitur dana cicil nya. ga adil dong kalo gitu.,2,0,1,1
aplikasi tidak amanah aplikasi tidak aman kalo ada kendala lama prosesnya,aplikasi tidak amanah aplikasi tidak aman kalo ada kendala lama prosesnya,1,0,0,1
"duit w tiba tiba ilang, apk aneh","duit w tiba tiba ilang, apk aneh",1,1,0,1
makin nggak jelas. saya mau transfer nggak bisa harus upgrade pas saya mau upgrade k premium susahnya minta ampun,makin nggak jelas. saya mau transfer nggak bisa harus upgrade pas saya mau upgrade k premium susahnya minta ampun,1,1,0,1
mengapa harus ugrade dana ke premium saya mau tf harus ugrade dulu dan saya tidak punya KTP,mengapa harus ugrade dana ke premium saya mau tf harus ugrade dulu dan saya tidak punya ktp,2,0,1,0
"kenapa sih saldo saya kepotong terus di bloomoffer atau apa itu saya saja tidak tau itu apa dan saya tidak pernah tau manau tentang itu saya pakai dana hnya untuk nyimpan uang saya, kesel banget sumpah kenapa sih persulit orang kayak gini","kenapa sih saldo saya kepotong terus di bloomoffer atau apa itu saya saja tidak tau itu apa dan saya tidak pernah tau manau tentang itu saya pakai dana hnya untuk nyimpan uang saya, kesel banget sumpah kenapa sih persulit orang kayak gini",1,1,0,1
"pliiisssss dana kenapa lagiih sih bbrpa hari ini gak bisa buat cek aktivitas atau membagikan bukti tf, bahkan buat isi pulsa pun gak bisaaaaaaaa. saat"" urgent malah gak bisa dipake samsekk...","pliiisssss dana kenapa lagiih sih bbrpa hari ini gak bisa buat cek aktivitas atau membagikan bukti tf, bahkan buat isi pulsa pun gak bisaaaaaaaa. saat urgent malah gak bisa dipake samsekk...",2,1,0,1
"nomor danaku hilang ,😢 gmna cara loginny","nomor danaku hilang , gmna cara loginny",1,0,0,0
"Aplikasi Busuk, selalu ada masalah , notif internet mati lah, pembayaran pending lah, busuk busuk","aplikasi busuk, selalu ada masalah , notif internet mati lah, pembayaran pending lah, busuk busuk",1,1,0,1
"aplikasi dana makin kesini makin aneh,sinyal bagus jaringan bagus ,pas login ke dana internet terputus katanya dan gak bisa transaksi sama sekali","aplikasi dana makin kesini makin aneh,sinyal bagus jaringan bagus ,pas login ke dana internet terputus katanya dan gak bisa transaksi sama sekali",1,1,0,1
sudah dua kali kejadian. pembayaran aplikasi tanpa saya ketahui. aplikasi sudah di hapus dari lama tapi bisa ada pembayaran,sudah dua kali kejadian. pembayaran aplikasi tanpa saya ketahui. aplikasi sudah di hapus dari lama tapi bisa ada pembayaran,3,1,0,0
keluar keluar terus dana udah jelwk,keluar keluar terus dana udah jelwk,1,1,0,1
"saya udah percaya banget sama dana, tapi saya baru saja mengalami penipuan senilai 1,8. Dan pihak dana tidak ada tanggung jawab apapun, saya sudah mencoba komplain di apk.","saya udah percaya banget sama dana, tapi saya baru saja mengalami penipuan senilai 1,8. dan pihak dana tidak ada tanggung jawab apapun, saya sudah mencoba komplain di apk.",1,0,0,0
"sudah di upgrade yang terbaru,tidak keluar juga fitur dana cicil/paylaternya","sudah di upgrade yang terbaru,tidak keluar juga fitur dana cicil paylaternya",1,0,1,0
di dana ad fitur dana+.... tpi pas saya mau narik dana+ itu selalu gagal padahal itu edintitas saya sendiri kok ga bisa di tarik mohon berikan kompensasi nya,di dana ad fitur dana .... tpi pas saya mau narik dana itu selalu gagal padahal itu edintitas saya sendiri kok ga bisa di tarik mohon berikan kompensasi nya,1,1,0,0
"kenapa kalo mau login gabisa"" keluar sendiri terus, udah bolak-balik uninstall, dan install lagi, penyimpanan aman, jaringan aman, hadehh perbaiki deh","kenapa kalo mau login gabisa keluar sendiri terus, udah bolak balik uninstall, dan install lagi, penyimpanan aman, jaringan aman, hadehh perbaiki deh",1,1,0,1
"mau login aja lama banget verifikasi wajah padahal jaringan bagus, tolong di baikin","mau login aja lama banget verifikasi wajah padahal jaringan bagus, tolong di baikin",1,1,0,0
fitur dana cicil kalo ga bisa di pakai hapus saja fitus gak guna !,fitur dana cicil kalo ga bisa di pakai hapus saja fitus gak guna !,1,1,0,1
"knp dana sy tidak bisa dibuka, disitu ada saldo sy soalnya, mau krim uang","knp dana sy tidak bisa dibuka, disitu ada saldo sy soalnya, mau krim uang",2,1,0,0
udah 5 tahun lama pake apk dana blom di kasih aja dana cicil tolong dong min ini kapan guwa dapat dana cicil wey,udah 5 tahun lama pake apk dana blom di kasih aja dana cicil tolong dong min ini kapan guwa dapat dana cicil wey,2,0,1,0
"jangan mau invest di REKSADANAnya penarikan uangnya lamaaa dari tgl 3feb belum masuk juga, komplen berkali kali hasilnya NIHIL.","jangan mau invest di reksadananya penarikan uangnya lamaaa dari tgl 3feb belum masuk juga, komplen berkali kali hasilnya nihil.",1,1,0,1
