content,reviewCreatedVersion,score,cleaned_content
"sistemnya ada gangguan mulu taik lah.. awal"" sih nggak ada masalah tapi makin lama makin parah nih dana, nggak konsisten mending hapus aja dari playstore. trus kami pindah ke GOPAY",2.122.0,1,"sistemnya ada gangguan mulu taik lah.. awal sih nggak ada masalah tapi makin lama makin parah nih dana, nggak konsisten mending hapus aja dari playstore. trus kami pindah ke gopay"
dana cicil tersedia tapi tidak bisa digunakan,2.122.0,5,dana cicil tersedia tapi tidak bisa digunakan
Makin Kesini Makin Erorr,2.122.0,1,makin kesini makin erorr
apk ngak waras masak mau tf muter² terus,2.122.0,1,apk ngak waras masak mau tf muter terus
kenapa gangguan terus ga bisa login akun saya? tidak ada jaringan!!!!,2.122.0,1,kenapa gangguan terus ga bisa login akun saya? tidak ada jaringan!!!!
mohon dibantu untuk aktivasi dana cicil nya,2.122.0,5,mohon dibantu untuk aktivasi dana cicil nya
"saya ini transfer dari DANA ke rekening BRI, uang tidak masuk ke rekening tetapi dari aplikasi DANA proses berhasil, mau kasih keluhan kemana ini komplenya, dari aplikasi susah banget komplenya, uang mau di pakai malah macet ngga jelas",2.122.0,1,"saya ini transfer dari dana ke rekening bri, uang tidak masuk ke rekening tetapi dari aplikasi dana proses berhasil, mau kasih keluhan kemana ini komplenya, dari aplikasi susah banget komplenya, uang mau di pakai malah macet ngga jelas"
bagaimana cara nya aktifin dana cicil,2.122.0,5,bagaimana cara nya aktifin dana cicil
bisa bantu saya mengembalikan uang saya yang salah transfer ngak,2.122.0,1,bisa bantu saya mengembalikan uang saya yang salah transfer ngak
tolong di bantu dong padahal saya aktif menggunakan dana tapi kenapa saya tidak mendapatkan fitur dana cicil🙏🏻,2.122.0,4,tolong di bantu dong padahal saya aktif menggunakan dana tapi kenapa saya tidak mendapatkan fitur dana cicil
aplikasi tolol mana lemot,2.121.0,1,aplikasi tolol mana lemot
saldo yg kita punya aja di ambil ko,2.122.0,5,saldo yg kita punya aja di ambil ko
"percuma ada saldo dana cicil,tapi gak bisa di gunakan di saat darurat,gak ada pungsi nya",2.122.0,1,"percuma ada saldo dana cicil,tapi gak bisa di gunakan di saat darurat,gak ada pungsi nya"
"dana cicil cuma gimmick, ada tapi tidak dapat digunakan dan bertele tele, limit 150 ribu serasa 150 juta.",2.123.0,1,"dana cicil cuma gimmick, ada tapi tidak dapat digunakan dan bertele tele, limit 150 ribu serasa 150 juta."
"Gak Jelas ,Makin Lemot ! Isi Token Listrik ,uangnya udh ke potong .. Notif Kode token nya malah gak ada sama sekali !",2.122.0,1,"gak jelas ,makin lemot ! isi token listrik ,uangnya udh ke potong .. notif kode token nya malah gak ada sama sekali !"
gak bisa pinjam gak seru,2.122.0,5,gak bisa pinjam gak seru
apk ribett bangett. kenapa harus ada dana premium. mau upgrade gagal terus gagal terus. duit gue kejebakk dah tuh di dana gak bisa di tf gak bisa di apa²in. untung adminnya gercep. masalah udah selesai tak kasih bintang 5.,2.122.0,5,apk ribett bangett. kenapa harus ada dana premium. mau upgrade gagal terus gagal terus. duit gue kejebakk dah tuh di dana gak bisa di tf gak bisa di apa in. untung adminnya gercep. masalah udah selesai tak kasih bintang 5.
trimakasih DANA ...fitur.nya.. memang luarbiasa...,2.122.0,5,trimakasih dana ...fitur.nya.. memang luarbiasa...
sangat membantu dlm pembayaran,2.122.0,4,sangat membantu dlm pembayaran
dana cicil gk bisa di pake percuma di Adain dana cicil,2.122.0,5,dana cicil gk bisa di pake percuma di adain dana cicil
mudah mudah han saya bisa menggunakan fitur-fitur dana cicil,2.122.0,5,mudah mudah han saya bisa menggunakan fitur fitur dana cicil
apa sudah aktip dana dompetku,2.122.0,1,apa sudah aktip dana dompetku
ngk ribet dan cepat..luar biasa..,2.122.0,5,ngk ribet dan cepat..luar biasa..
