content,reviewCreatedVersion,score,cleaned_content
"saya sudah pelunasan dana instan tp pas mau penarikan kembali malah tidak bisa terus,gimana sih ,niat ga sih kasih pinjaman nya,bikin ga kompeten",2.122.0,2,"saya sudah pelunasan dana instan tp pas mau penarikan kembali malah tidak bisa terus,gimana sih ,niat ga sih kasih pinjaman nya,bikin ga kompeten"
dana cicil saya blm bisa di gunakan sampai sekarang gimna ni admin bls,2.122.0,3,dana cicil saya blm bisa di gunakan sampai sekarang gimna ni admin bls
Kenapa dana cicil saya tidak bisa di gunakan lagi ya?sedangkan saya sudah melunasi nya?,2.122.0,2,kenapa dana cicil saya tidak bisa di gunakan lagi ya?sedangkan saya sudah melunasi nya?
kenapa ya saya buka aplikasi dana mental keluar terus.,2.122.0,2,kenapa ya saya buka aplikasi dana mental keluar terus.
"SANGAT BURUK.. FERIVIKASI RIBET.. PADAHAL UDAH PAKAI PASSWHOD DAN FERIVIKASI WAJAH.. EH MALAH MINTA FERIVIKASI wA atau SMS.. . MENDING PAKAI GOPAY GAK RIBET. SUNGGUH KECEWA SAMA APLIKASI INI.. SANGAT"" TOLOL",2.122.0,1,sangat buruk.. ferivikasi ribet.. padahal udah pakai passwhod dan ferivikasi wajah.. eh malah minta ferivikasi wa atau sms.. . mending pakai gopay gak ribet. sungguh kecewa sama aplikasi ini.. sangat tolol
"aplikasi bosokk ra cetoo , duit ku di serotttt cokk matane ile",2.122.0,1,"aplikasi bosokk ra cetoo , duit ku di serotttt cokk matane ile"
"sering trouble, padahal keadaan lagi butuh-butuh nya",2.122.0,1,"sering trouble, padahal keadaan lagi butuh butuh nya"
fitur dana cicil gak ada muncul,2.122.0,2,fitur dana cicil gak ada muncul
"kesulitan untuk bertransaksi, selalu minta verifikasi, setelah sudah di verifikasi tidak bisah bertransaksi, kejadian selalu terjadi berulang kali, sangat membosankan",2.122.0,1,"kesulitan untuk bertransaksi, selalu minta verifikasi, setelah sudah di verifikasi tidak bisah bertransaksi, kejadian selalu terjadi berulang kali, sangat membosankan"
aplikasi tololll begooi idiottt mauu bayarr keluar keluar sendirii tololl benerin begoo,2.122.0,1,aplikasi tololll begooi idiottt mauu bayarr keluar keluar sendirii tololl benerin begoo
tidak bisa ganti akun dana,2.122.0,1,tidak bisa ganti akun dana
dna gua kok kalo mau ngirim pakek qirs berterusan gambar kurang jelas,2.122.0,1,dna gua kok kalo mau ngirim pakek qirs berterusan gambar kurang jelas
"KENAPA SALDO SAYA TERPOTONG TIBA TIBA UNTUK, PEMBAYARAN DANA CICIL, SEDANGKAN DANA CICIL SUDAH DI LUNASKAN ,DI MOHON TANGGUNG JAWAB DAN KEMBALI SALDO SAYA YANG TERPOTONG ..",2.122.0,1,"kenapa saldo saya terpotong tiba tiba untuk, pembayaran dana cicil, sedangkan dana cicil sudah di lunaskan ,di mohon tanggung jawab dan kembali saldo saya yang terpotong .."
"saya hanya mencoba aplikasi gamenya.percobaan telah selesai,dan gamenya bagus buat untuk ngisi waktu santai.",2.122.0,1,"saya hanya mencoba aplikasi gamenya.percobaan telah selesai,dan gamenya bagus buat untuk ngisi waktu santai."
"aplikasi dana saya enggak lengkap padahal saya udah lama bertransaksi melalui dana.masa dana cicilnya enggak keluar keluar,beda dengan orang yang baru pakai dana,udah muncul fitur dana cicilnya.tlong perhatikan",2.122.0,1,"aplikasi dana saya enggak lengkap padahal saya udah lama bertransaksi melalui dana.masa dana cicilnya enggak keluar keluar,beda dengan orang yang baru pakai dana,udah muncul fitur dana cicilnya.tlong perhatikan"
bagus donlot nya cepat,2.121.0,3,bagus donlot nya cepat
dana macam tak berguna,2.122.0,1,dana macam tak berguna
"top up e-money 50rb di transaksi dana berhasil masuk cuma pas di cek di e-money malah saldo masih kurang dari 50rb gimana si ini dana, padahal udah komplen tapi malah di cuekin",2.122.0,2,"top up e money 50rb di transaksi dana berhasil masuk cuma pas di cek di e money malah saldo masih kurang dari 50rb gimana si ini dana, padahal udah komplen tapi malah di cuekin"
knp dana cicil saya tidak tersedia? kok bisa ya dana cicil saya tidak tersedia padahal disitu sudah jls limitnya 150 TPI gak bisa digunakan percuma,2.122.0,2,knp dana cicil saya tidak tersedia? kok bisa ya dana cicil saya tidak tersedia padahal disitu sudah jls limitnya 150 tpi gak bisa digunakan percuma
fitur dana cicil tidak bisa di gunakan,2.122.0,1,fitur dana cicil tidak bisa di gunakan
Tolong tambah kan tema gelap!,2.122.0,3,tolong tambah kan tema gelap!
kenapa akun dana saya sering keluar dengan pemberitahuan dana terus berhenti,2.122.0,1,kenapa akun dana saya sering keluar dengan pemberitahuan dana terus berhenti
tolong lah ini kenapa dana cicil saya gak bisa di guna in ini fitur lain nya sih oke tapi kenapa dana cicilnya gak bisa????,2.122.0,2,tolong lah ini kenapa dana cicil saya gak bisa di guna in ini fitur lain nya sih oke tapi kenapa dana cicilnya gak bisa????
"koar"" nawarin dana cicil...ehh giliran didaftar malah ditolak...GK jelas. kasi bintang satu aja dulu",2.122.0,1,koar nawarin dana cicil...ehh giliran didaftar malah ditolak...gk jelas. kasi bintang satu aja dulu
"kok, GK ada fitur dana instan, sudah di updet",2.122.0,1,"kok, gk ada fitur dana instan, sudah di updet"
apk gak jelas sudah dapat limit dana cicil.malah gak bisa digunakan,2.122.0,1,apk gak jelas sudah dapat limit dana cicil.malah gak bisa digunakan
ini ndak bisa-bisa aku daftar macam mana ini,2.122.0,1,ini ndak bisa bisa aku daftar macam mana ini
gak ada dana cicil,2.122.0,2,gak ada dana cicil
"wkwkk cukup tau dahh, Tiba-tiba transaksi qris tanpa pengetahuan sendri wkwk, dibuat laporan malah bertele-tele. cukup dah",2.122.0,1,"wkwkk cukup tau dahh, tiba tiba transaksi qris tanpa pengetahuan sendri wkwk, dibuat laporan malah bertele tele. cukup dah"
uang saya sudah 1700000 hilang di aplikasih dana ini. sangat merugikan. dan sampai sekarang uangku hilang gk bisa di kembalikan oleh pihak dana. pelayananya sangat buruk. kita gk bisa mengadu di aplikasi dana. sangat buruk,2.122.0,1,uang saya sudah 1700000 hilang di aplikasih dana ini. sangat merugikan. dan sampai sekarang uangku hilang gk bisa di kembalikan oleh pihak dana. pelayananya sangat buruk. kita gk bisa mengadu di aplikasi dana. sangat buruk
Kenapa saya tidak bisa masuk ke apk dana,2.122.0,1,kenapa saya tidak bisa masuk ke apk dana
sebenarnya admin utk top up berapa? kadang 500 kadang 1000?,2.122.0,3,sebenarnya admin utk top up berapa? kadang 500 kadang 1000?
"apk bo*oh, setiap update makin gajelas makin lambat jelek banget ini apk",2.122.0,1,"apk bo oh, setiap update makin gajelas makin lambat jelek banget ini apk"
ini kenapa ya aku kok mau kirim uang sudah 2x tapi yang penerima tidak menerima status berhasil nama dan rekening sudah sama ini kenapa woy,2.122.0,1,ini kenapa ya aku kok mau kirim uang sudah 2x tapi yang penerima tidak menerima status berhasil nama dan rekening sudah sama ini kenapa woy
dana bisnis saldonya tidak bisa di tarik...klo mau bnyk yg pakai tolong di permudah pemakaian aplikasinya bukan di persulit merugikan pengguna,2.122.0,1,dana bisnis saldonya tidak bisa di tarik...klo mau bnyk yg pakai tolong di permudah pemakaian aplikasinya bukan di persulit merugikan pengguna
lawak ini transaksi di persulit katanya batas habis padahal baru transaksi 8ribu,2.123.0,1,lawak ini transaksi di persulit katanya batas habis padahal baru transaksi 8ribu
