content,cleaned_content,score,accuracy,completeness,satisfaction,reasoning
"APLIKASI YANG SANGAT MENGECEWAKAN... SAYA MEMBELI KOUTA DAN KOUTANYA MALAH TIDAK MASUK , SAYA LAPOR KE CS DANA BELUM ADA TANGGAPAN HARUS TUNGGU 2 HARI ... KEMUDIAN SAYA MENCOBA MEMBELI KOUTA LAGI DI DANA KARENA SAYA MEMANG SANGAT MEMBUTUHKAN KOUTA KARENA KEADAAN URGENT, EHH TERNYATA MALAH GAGAL LAGI ... SANGAT MENGECEWAKAN KEADAAN URGENT + BELI KOUTA DI DANA + KOUTA TIDAK MASUK + LAPOR CS MALAH DI SURUH TUNGGU 2 HARI APLIKASI MACAM APA INI ? BURUK SEKALI DALAM PELAYANAN KE KONSUMEN","aplikasi yang sangat mengecewakan... saya membeli kouta dan koutanya malah tidak masuk , saya lapor ke cs dana belum ada tanggapan harus tunggu 2 hari ... kemudian saya mencoba membeli kouta lagi di dana karena saya memang sangat membutuhkan kouta karena keadaan urgent, ehh ternyata malah gagal lagi ... sangat mengecewakan keadaan urgent beli kouta di dana kouta tidak masuk lapor cs malah di suruh tunggu 2 hari aplikasi macam apa ini ? buruk sekali dalam pelayanan ke konsumen",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (kouta tidak masuk, pembelian kouta gagal) dan mengekspresikan kekecewaan dengan kata-kata seperti 'sangat mengecewakan', 'buruk sekali', dan 'aplikasi macam apa ini' yang menunjukkan respon emosional negatif."
tidak aman menggunakan dana .. saldo sebulan 2x di sedot.. menghubungkan layanan yang jawab BOT,tidak aman menggunakan dana .. saldo sebulan 2x di sedot.. menghubungkan layanan yang jawab bot,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (saldo di sedot) dan menunjukkan respon emosional negatif (tidak aman), sehingga label accuracy dan satisfaction diberi nilai 1."
dah gak enak lagi pakai dana dari 332.000 jadi 319.00 pelan pelan di sedot payah dana sekarang,dah gak enak lagi pakai dana dari 332.000 jadi 319.00 pelan pelan di sedot payah dana sekarang,1,0.0,0.0,1.0,"Pengguna menyatakan kekecewaan dengan perubahan saldo dana, menggunakan kata 'payah' yang menunjukkan emosi negatif."
aplikasi gak konsisten banyak bug,aplikasi gak konsisten banyak bug,1,1.0,0.0,1.0,"Pengguna menyebutkan adanya bug, yang menunjukkan kesalahan fungsi (accuracy=1) dan juga mengungkapkan kekecewaan (satisfaction=1) karena aplikasi tidak konsisten."
"DANA HANYA MEMBALAS KELUHAN PENGGUNA DENGAN MENGGUNAKAN AI, TIDAK DENGAN CS LIVE, PENGADUAN TIDAK ADA YANG DI TANGGAPI SAMA SEKALI.","dana hanya membalas keluhan pengguna dengan menggunakan ai, tidak dengan cs live, pengaduan tidak ada yang di tanggapi sama sekali.",1,0.0,1.0,1.0,"Pengguna merasa kecewa karena pengaduan tidak ditanggapi dan hanya menggunakan AI, bukan CS live, yang menunjukkan ketidakpuasan dan kebutuhan akan fitur layanan pelanggan yang lebih lengkap."
kenapa yang sudah premium kembali lagi non premium bego,kenapa yang sudah premium kembali lagi non premium bego,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (kembali ke non premium) dan menunjukkan respon emosional negatif (kecewa, marah) dengan kata 'bego'."
akun saya diretas tiba tiba berlangganan tidak ada solusi dr pihak dana payah jd takut top up dengan nominal besar kalau gini,akun saya diretas tiba tiba berlangganan tidak ada solusi dr pihak dana payah jd takut top up dengan nominal besar kalau gini,1,1.0,1.0,1.0,"Pengguna mengalami kesalahan fungsi (akun diretas), menyebutkan fitur tidak lengkap (tidak ada solusi), dan menunjukkan respon emosional negatif (takut)"
maaf kak kenapa akun dana saya tidak bisa dibukak lagi.apa masalah nya,maaf kak kenapa akun dana saya tidak bisa dibukak lagi.apa masalah nya,1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (akun tidak bisa dibuka) dan menunjukkan respon emosional (maaf, menanyakan masalahnya)"
"akhir² ini dana tidak aman, uang saya ada yang ambil pihak dana tidak bertanggung jawab.","akhir ini dana tidak aman, uang saya ada yang ambil pihak dana tidak bertanggung jawab.",1,1.0,0.0,1.0,"Pengguna mengalami kesalahan fungsi (dana tidak aman, uang diambil tanpa izin) dan menunjukkan respon emosional negatif (kecewa, marah) karena pihak dana tidak bertanggung jawab."
"sangat cocok, cocok buat oe hantam a🗿","sangat cocok, cocok buat oe hantam a",1,0.0,0.0,1.0,Ulasan mengandung kata 'sangat cocok' yang menunjukkan respon emosional positif dari pengguna.
