content,reviewCreatedVersion,score,cleaned_content
"APLIKASI YANG SANGAT MENGECEWAKAN... SAYA MEMBELI KOUTA DAN KOUTANYA MALAH TIDAK MASUK , SAYA LAPOR KE CS DANA BELUM ADA TANGGAPAN HARUS TUNGGU 2 HARI ... KEMUDIAN SAYA MENCOBA MEMBELI KOUTA LAGI DI DANA KARENA SAYA MEMANG SANGAT MEMBUTUHKAN KOUTA KARENA KEADAAN URGENT, EHH TERNYATA MALAH GAGAL LAGI ... SANGAT MENGECEWAKAN KEADAAN URGENT + BELI KOUTA DI DANA + KOUTA TIDAK MASUK + LAPOR CS MALAH DI SURUH TUNGGU 2 HARI APLIKASI MACAM APA INI ? BURUK SEKALI DALAM PELAYANAN KE KONSUMEN",2.122.0,1,"aplikasi yang sangat mengecewakan... saya membeli kouta dan koutanya malah tidak masuk , saya lapor ke cs dana belum ada tanggapan harus tunggu 2 hari ... kemudian saya mencoba membeli kouta lagi di dana karena saya memang sangat membutuhkan kouta karena keadaan urgent, ehh ternyata malah gagal lagi ... sangat mengecewakan keadaan urgent beli kouta di dana kouta tidak masuk lapor cs malah di suruh tunggu 2 hari aplikasi macam apa ini ? buruk sekali dalam pelayanan ke konsumen"
tidak aman menggunakan dana .. saldo sebulan 2x di sedot.. menghubungkan layanan yang jawab BOT,2.119.0,1,tidak aman menggunakan dana .. saldo sebulan 2x di sedot.. menghubungkan layanan yang jawab bot
dah gak enak lagi pakai dana dari 332.000 jadi 319.00 pelan pelan di sedot payah dana sekarang,2.122.0,1,dah gak enak lagi pakai dana dari 332.000 jadi 319.00 pelan pelan di sedot payah dana sekarang
aplikasi gak konsisten banyak bug,2.122.0,1,aplikasi gak konsisten banyak bug
"DANA HANYA MEMBALAS KELUHAN PENGGUNA DENGAN MENGGUNAKAN AI, TIDAK DENGAN CS LIVE, PENGADUAN TIDAK ADA YANG DI TANGGAPI SAMA SEKALI.",2.120.1,1,"dana hanya membalas keluhan pengguna dengan menggunakan ai, tidak dengan cs live, pengaduan tidak ada yang di tanggapi sama sekali."
kenapa yang sudah premium kembali lagi non premium bego,2.119.0,1,kenapa yang sudah premium kembali lagi non premium bego
akun saya diretas tiba tiba berlangganan tidak ada solusi dr pihak dana payah jd takut top up dengan nominal besar kalau gini,2.119.0,1,akun saya diretas tiba tiba berlangganan tidak ada solusi dr pihak dana payah jd takut top up dengan nominal besar kalau gini
maaf kak kenapa akun dana saya tidak bisa dibukak lagi.apa masalah nya,2.119.0,1,maaf kak kenapa akun dana saya tidak bisa dibukak lagi.apa masalah nya
"akhir² ini dana tidak aman, uang saya ada yang ambil pihak dana tidak bertanggung jawab.",2.119.0,1,"akhir ini dana tidak aman, uang saya ada yang ambil pihak dana tidak bertanggung jawab."
"sangat cocok, cocok buat oe hantam a🗿",2.121.0,1,"sangat cocok, cocok buat oe hantam a"
kenapa minta upgrade terus,2.119.0,1,kenapa minta upgrade terus
